Account Name,Primary Industry,Annual Revenue,Number of Employees,Monthly Cloud Spend,Relevant Technologies in Use,Primary Cloud Hosting,Secondary Cloud Hosting,Container Orchestration Tools,PostgreSQL/MySQL Alternatives in Use,Kafka Alternatives in Use,OpenSearch Alternatives in Use
Corbion,Manufacturing,USD 1 655 872 000,2601,USD 16 300,MySQL,Amazon EC2,Microsoft Azure,,MySQL,,
CoreLogic,Software,USD 2 310 567 000,11000,USD 539 500,PostgreSQL; MySQL; Redis; Grafana; MongoDB; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Prometheus; Snowflake; Splunk; Apache Kafka,Amazon EC2,Google Compute Engine,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL; Amazon Aurora,Confluent; Apache Kafka,Elasticsearch
Cornelsen Schulverlage,Education,USD 376 714 000,1788,USD 49 400,PostgreSQL; MySQL; Redis; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Prometheus,Amazon EC2,"Docker, Inc.","Docker, Inc.",MySQL; PostgreSQL,,
Cornerstone OnDemand,Software,USD 630 155 000,3000,USD 410 800,PostgreSQL; MySQL; Redis; Apache Cassandra; Grafana; MongoDB; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Couchbase; Snowflake; Splunk; Apache Kafka,Amazon EC2,Oracle,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL,Confluent; Apache Kafka,Elasticsearch
Coupa,Software,USD 818 108 000,3849,USD 285 100,PostgreSQL; MySQL; Redis; Apache Cassandra; Grafana; MongoDB; MariaDB; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Datadog; Prometheus; Snowflake; Apache Kafka,Amazon EC2,Microsoft Azure,"Kubernetes; Docker, Inc.",MySQL; MariaDB; PostgreSQL; Amazon Aurora; Amazon Relational Database Service,Apache Kafka,Elasticsearch
Coupang,Holding Companies & Conglomerates,USD 20 582 615 000,68000,USD 4 216 500,PostgreSQL; MySQL; Redis; Apache Cassandra; Grafana; MongoDB; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Couchbase; Snowflake; Splunk; Apache Kafka; Apache Flink,Hankuk Internet Data Center,Amazon EC2,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL,Apache Kafka,Elasticsearch
Cover-More Group,Insurance,USD 299 608 000,818,USD 33 900,Redis,Amazon EC2,"Acquia, Inc.",,,,
Cox Automotive,Software,USD 22 000 000 000,25000,USD 855 200,PostgreSQL; PostgreSQL; PostgreSQL; MySQL; Apache Cassandra; Grafana; MongoDB; Kubernetes; Docker; Jenkins; Jenkins; Prometheus; Couchbase; Snowflake; Splunk; Splunk; Splunk; Apache Kafka; Apache Kafka,Amazon EC2,"MongoDB, Inc.","Kubernetes; Docker, Inc.",MySQL; PostgreSQL; Microsoft Azure SQL Database; Amazon Relational Database Service,Confluent; Apache Kafka,Elasticsearch; Apache Solr; Apache Lucene
Cox Communications,Telecommunications,USD 10 400 000 000,21785,USD 1 567 100,PostgreSQL; PostgreSQL; Apache Cassandra; Apache Cassandra; InfluxDB; InfluxDB; Grafana; Grafana; Kubernetes; Kubernetes; Docker; Docker; HashiCorp Terraform; Datadog; Prometheus; Couchbase; Snowflake; Apache Kafka,Comcast,Lumen Technologies,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL; Microsoft Azure SQL Database; Amazon Relational Database Service,Apache Kafka,Elasticsearch; Apache Solr; Apache Lucene
Coyote Logistics,Transportation,USD 979 729 000,3000,USD 34 800,PostgreSQL; MySQL; MongoDB; Docker; HashiCorp Terraform; Snowflake; Splunk,Kubernetes,Amazon EC2,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL; Microsoft Azure SQL Database,,Elasticsearch
Cradlepoint,Telecommunications,USD 452 159 000,1300,USD 92 400,PostgreSQL; MySQL; Redis; Apache Cassandra; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Datadog; Snowflake; Apache Kafka,Amazon EC2,Kubernetes,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL,Apache Kafka,Elasticsearch
Crate & Barrel,Retail,USD 1 688 889 000,8000,USD 501 700,PostgreSQL; MySQL; Redis; MongoDB; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Apache Kafka,Amazon EC2,Microsoft Azure,Kubernetes,MySQL; PostgreSQL,Apache Kafka,Elasticsearch
CRB group,Construction,USD 323 881 000,1700,USD 2 100,Grafana; HashiCorp Terraform,AWS Rekognition,Microsoft Azure,,Microsoft Azure SQL Database,,
Credit Karma,Software,USD 1 800 000 000,5500,USD 779 100,PostgreSQL; MySQL; Apache Cassandra; Grafana; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Datadog; Prometheus; Couchbase; Splunk; Apache Kafka,Akamai Technologies,Kubernetes,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL,Apache Kafka,Elasticsearch
Credit Suisse Group AG,Finance,USD 25 367 300 000,51030,USD 528 600,PostgreSQL; PostgreSQL; MySQL; MySQL; Apache Cassandra; Grafana; MongoDB; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Jenkins; Prometheus; Snowflake; Splunk; Apache Kafka; Apache Kafka,"MongoDB, Inc.",Veeam Software,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL; Microsoft Azure SQL Database,Confluent; Apache Kafka,Elasticsearch; Apache Lucene
Cricut,Manufacturing,USD 816 748 000,800,USD 359 400,MySQL; Grafana; MongoDB; Jenkins; Datadog; Prometheus; Snowflake; Apache Kafka; Apache Flink,Amazon EC2,Kubernetes,"Kubernetes; Docker, Inc.",MySQL,Apache Kafka,Elasticsearch
CRIF,Software,USD 3 299 599 000,6600,USD 374 300,MySQL; Redis; Grafana; MongoDB; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Apache Kafka,BENESTRA s. r. o.,"Digital Ocean, Inc.","Kubernetes; Docker, Inc.",,Apache Kafka,Elasticsearch
Crowe,Business Services,USD 1 062 000 000,6600,USD 248 700,PostgreSQL; MySQL; Redis; MongoDB; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Snowflake; Splunk; Apache Kafka,Hetzner Online GmbH,plusserver,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL; Microsoft Azure SQL Database,Apache Kafka,
Crown Resorts,Hospitality,USD 1 204 444 000,20500,USD 7 500,MySQL; Splunk,Amazon Simple Email Service (SES),Microsoft Azure,,MySQL,,
Croydon Council,Hospitals & Physicians Clinics,USD 443 395 000,3585,USD 26 300,MySQL,Microsoft Azure,Oracle,,MySQL,,
Cruise,Manufacturing,USD 740 252 000,2500,USD 36 100,PostgreSQL; MySQL; Apache Cassandra; Grafana; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Datadog; Prometheus; Splunk; Apache Kafka; Apache Flink,"Docker, Inc.",Kubernetes,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL,Apache Kafka,Elasticsearch
CSA Group,Organizations,USD 679 590 000,3474,USD 32 000,MySQL; Grafana; Splunk,Veeam Software,SAP Cloud,,MySQL,,Elasticsearch
CSG,Software,USD 1 169 258 000,6000,USD 74 300,PostgreSQL; MySQL; Redis; Apache Cassandra; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Datadog; Datadog; Prometheus; Snowflake; Splunk; Apache Kafka,Amazon EC2,Kubernetes,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL,Apache Kafka,Elasticsearch
C Spire,Telecommunications,USD 824 824 000,2232,USD 43 400,PostgreSQL; MySQL; Grafana; MongoDB; Kubernetes; Jenkins; Prometheus; Apache Kafka,Snowflake Computing,Veeam Software,,MySQL; PostgreSQL,Apache Kafka,
CSX,Transportation,USD 14 853 000 000,23000,USD 48 400,PostgreSQL; PostgreSQL; MySQL; Redis; Redis; Grafana; MongoDB; Docker; HashiCorp Terraform; Snowflake; Apache Kafka,Amazon EC2,"Docker, Inc.","Kubernetes; Docker, Inc.",MySQL; PostgreSQL,Apache Kafka,Elasticsearch; Apache Solr
CubeSmart,Transportation,USD 1 046 196 000,2900,USD 81 800,PostgreSQL; MySQL; MongoDB; Kubernetes; Jenkins; Apache Kafka,Amazon EC2,"Docker, Inc.","Kubernetes; Docker, Inc.",MySQL; PostgreSQL; Microsoft Azure SQL Database,Apache Kafka,
Curriculum Associates,Education,USD 386 336 000,2000,USD 249 500,MySQL; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Splunk,Amazon EC2,GoDaddy,"Docker, Inc.",MySQL,,
CURT,Manufacturing,USD 271 571 000,1000,USD 19 900,MySQL; Redis,Google Compute Engine,Bauer Built,,MySQL,,
Cvent,Software,USD 630 600 000,4900,USD 1 116 000,PostgreSQL; MySQL; MySQL; Redis; Apache Cassandra; MongoDB; Kubernetes; Docker; Docker; HashiCorp Terraform; Jenkins; Jenkins; Datadog; Couchbase; Snowflake; Splunk; Apache Kafka,Amazon EC2,Bluehost,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL; Microsoft Azure SQL Database; Amazon Relational Database Service,Apache Kafka,Elasticsearch
Cybage,Business Services,USD 1 949 820 000,8000,USD 58 400,PostgreSQL; MySQL; Grafana; MongoDB; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Splunk; Apache Kafka,Vodafone Group Public Limited Company,"Docker, Inc.","Docker, Inc.",MySQL; Amazon Aurora,Apache Kafka,Apache Solr
CyberArk,Software,USD 659 369 000,2768,USD 116 400,PostgreSQL; MySQL; Grafana; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Snowflake; Splunk,"Docker, Inc.",Kubernetes,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL,,Elasticsearch
Cyient,Construction,USD 849 360 000,19000,USD 56 000,PostgreSQL; MySQL; Apache Cassandra; Grafana; MongoDB; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Datadog,Kubernetes,"Docker, Inc.","Kubernetes; Docker, Inc.",MySQL; PostgreSQL,,
Cytel,Software,USD 399 098 000,2000,USD 6 000,MySQL,Kubernetes,"Docker, Inc.","Kubernetes; Docker, Inc.",MySQL,,
Daily Mail Online,Media & Internet,USD 299 505 000,1391,USD 1 311 200,MySQL; Redis; Apache Cassandra; Docker; Jenkins; Splunk,Amazon EC2,Lumen Technologies,"Kubernetes; Docker, Inc.",MySQL,,Elasticsearch
Daisy Group,Telecommunications,USD 923 862 000,3245,USD 8 200,MySQL; Redis; MariaDB,Vodafone Group Public Limited Company,Microsoft Azure,,MySQL; MariaDB,,
Danaher,Holding Companies & Conglomerates,USD 31 500 000 000,80000,USD 23 800,PostgreSQL; MySQL; Redis; Grafana; MongoDB; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Datadog; Prometheus; Snowflake; Splunk; Apache Kafka; Apache Flink,Amazon EC2,Microsoft Azure,,MySQL; PostgreSQL; Microsoft Azure SQL Database,Apache Kafka,Elasticsearch; Apache Solr; Apache Lucene
Danske Bank,Finance,USD 8 299 118 000,21022,USD 96 000,Redis; Apache Cassandra; InfluxDB; Grafana; MongoDB; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Prometheus; Snowflake; Apache Kafka,"Docker, Inc.",Kubernetes,"Kubernetes; Docker, Inc.",,Apache Kafka,Elasticsearch
Darktrace,Software,USD 678 358 000,2300,USD 15 300,PostgreSQL; MySQL; Redis; Kubernetes; Docker; HashiCorp Terraform; Splunk,Amazon EC2,Microsoft Azure,,MySQL; PostgreSQL,,Elasticsearch
Dasa,Healthcare Services,USD 3 523 246 000,40000,USD 106 000,PostgreSQL; MySQL; Redis; Grafana; Kubernetes; Jenkins; Apache Kafka,Microsoft Azure,Beletrans Transitarios,,MySQL; PostgreSQL,Apache Kafka,
Dassault,Software,USD 6 467 398 000,25573,USD 868 800,PostgreSQL; MySQL; MySQL; Redis; InfluxDB; Grafana; MongoDB; MongoDB; MariaDB; Kubernetes; Docker; Docker; HashiCorp Terraform; Jenkins; Datadog; Prometheus; Couchbase; Snowflake; Apache Kafka; Apache Flink,Amazon EC2,Timewarner Telecom,"Kubernetes; Docker, Inc.",MySQL; MariaDB; PostgreSQL,Apache Kafka,Elasticsearch; Apache Lucene
DAT,Transportation,USD 256 645 000,500,USD 376 400,MongoDB; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Prometheus; Snowflake; Splunk; Apache Kafka; Apache Flink,Amazon EC2,Lumen Technologies,"Kubernetes; Docker, Inc.",,Confluent; Apache Kafka,Elasticsearch
Data#3,Software,USD 922 079 000,1200,USD 25 400,MySQL,Amazon EC2,High Tech High Media Arts,,MySQL,,
DataArt,Business Services,USD 1 462 365 000,6000,USD 90 200,PostgreSQL; MySQL; Redis; Apache Cassandra; ClickHouse; Grafana; MongoDB; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Prometheus; Snowflake; Apache Kafka; Apache Flink,Amazon EC2,"Docker, Inc.","Kubernetes; Docker, Inc.",MySQL; PostgreSQL,Apache Kafka,Elasticsearch
Databricks,Software,USD 945 232 000,4500,USD 538 700,PostgreSQL; MySQL; Apache Cassandra; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Snowflake; Apache Kafka,Amazon EC2,Teradata,"Kubernetes; Docker, Inc.",MySQL,Apache Kafka,
Datacom Group Ltd,Business Services,USD 879 179 000,7000,USD 5 000,PostgreSQL; MySQL; Redis; Grafana; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Prometheus; Snowflake; Splunk; Apache Kafka,Amazon EC2,,,MySQL; PostgreSQL; Microsoft Azure SQL Database,Apache Kafka,
DataDog,Software,USD 2 128 359 000,5200,USD 1 033 800,PostgreSQL; MySQL; Redis; Apache Cassandra; Grafana; MongoDB; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Datadog; Snowflake; Splunk; Apache Kafka; Apache Flink,Amazon EC2,Amazon S3,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL,Apache Kafka,Elasticsearch; Apache Lucene
Dataiku,Software,USD 280 026 000,1341,USD 135 000,PostgreSQL; Redis; MongoDB; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Snowflake; Apache Kafka,Amazon EC2,OVH SRL,"Kubernetes; Docker, Inc.",PostgreSQL; Microsoft Azure SQL Database,Apache Kafka,Elasticsearch
DataRobot,Software,USD 338 183 000,1610,USD 228 900,PostgreSQL; MySQL; Redis; MongoDB; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Snowflake,Amazon EC2,Kubernetes,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL,,
Datasite,Software,USD 280 026 000,1000,USD 31 700,PostgreSQL; Redis; Grafana; MongoDB; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Prometheus; Snowflake; Splunk; Apache Kafka,Kubernetes,"MongoDB, Inc.","Kubernetes; Docker, Inc.",PostgreSQL,Apache Kafka,Elasticsearch
Datto,Business Services,USD 644 529 000,2089,USD 383 500,PostgreSQL; MySQL; Redis; Apache Cassandra; Grafana; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Datadog; Prometheus; Splunk; Apache Kafka,Amazon EC2,Zayo Group,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL,Apache Kafka,Elasticsearch
DAVEY,Consumer Services,USD 1 378 053 000,10000,USD 25 100,PostgreSQL; MySQL; Kubernetes; Docker; Snowflake,Microsoft Azure,Amazon EC2,,MySQL; PostgreSQL,,
Dealertrack,Software,USD 506 645 000,3900,USD 61 300,PostgreSQL; MySQL; Docker; HashiCorp Terraform; Jenkins; Splunk; Apache Kafka,Amazon EC2,AT&T,,MySQL; PostgreSQL,Apache Kafka,Elasticsearch
debricked AB,Business Services,USD 4 600 000,30,USD 1 600,MySQL,dmarcly.com,Google Compute Engine,,MySQL,,
Decathlon SE,Retail,USD 12 400 000 000,70000,USD 439 400,PostgreSQL; MySQL; MongoDB; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Couchbase; Splunk,vercara.com,Locaweb,Kubernetes; Docker,MySQL; PostgreSQL,,Elasticsearch; Apache Lucene
Deezer,Media & Internet,USD 483 203 000,629,USD 977 300,MySQL; Grafana; Kubernetes; Docker; HashiCorp Terraform,Amazon EC2,Iguane Solutions,"Kubernetes; Docker, Inc.",MySQL,,Elasticsearch
Deliveroo,Transportation,USD 2 527 158 000,5500,USD 840 400,PostgreSQL; MySQL; Redis; MongoDB; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Datadog; Snowflake; Splunk; Apache Kafka; Apache Flink,Amazon EC2,"MongoDB, Inc.","Kubernetes; Docker, Inc.",MySQL; PostgreSQL,Apache Kafka,Elasticsearch
Dell Technologies Inc,Manufacturing,USD 104 722 997 000,150000,USD 4 082 700,PostgreSQL; MySQL; MySQL; Redis; InfluxDB; InfluxDB; Grafana; MariaDB; Kubernetes; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Jenkins; Prometheus; Couchbase; Couchbase; Snowflake; Splunk; Splunk; Apache Kafka; Apache Kafka; Apache Flink,Rackspace,Veeam Software,"Kubernetes; Docker, Inc.",MySQL; MariaDB; PostgreSQL,Apache Kafka,Elasticsearch; Apache Solr; Apache Lucene
Deloitte,Business Services,USD 64 900 000 000,457000,USD 2 380 800,PostgreSQL; MySQL; Redis; Apache Cassandra; Grafana; Grafana; MariaDB; Kubernetes; Kubernetes; Docker; HashiCorp Terraform; Datadog; Datadog; Datadog; Prometheus; Couchbase; Snowflake; Splunk; Apache Kafka; Apache Flink,Amazon EC2,Teradata,"Kubernetes; Docker, Inc.",MySQL; MariaDB; PostgreSQL; Amazon Aurora; Amazon Relational Database Service,Confluent; Apache Kafka,Elasticsearch; Apache Solr; Apache Lucene
Deluxe,Business Services,USD 2 244 582 000,5900,USD 387 800,,SoftLayer an IBM Company,Amazon EC2,"Kubernetes; Docker, Inc.",MySQL; MariaDB; PostgreSQL; Microsoft Azure SQL Database,Apache Kafka,Elasticsearch; Apache Solr; Apache Lucene
Demandbase,Software,USD 253 770 000,750,USD 112 700,PostgreSQL; MySQL; Redis; Grafana; MongoDB; MariaDB; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Datadog; Prometheus; Apache Kafka,Amazon EC2,Kubernetes,"Kubernetes; Docker, Inc.",MySQL; MariaDB; PostgreSQL,Apache Kafka,Elasticsearch; Apache Solr
Dematic,Manufacturing,USD 2 987 280 000,11000,USD 43 900,MySQL; Redis; Apache Cassandra; Grafana; MongoDB; Docker; HashiCorp Terraform; Jenkins; Jenkins; Datadog; Prometheus; Snowflake; Splunk; Apache Kafka; Apache Flink,Intracto,Lumen Technologies,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL,Apache Kafka,Elasticsearch
"DeNA Co., Ltd.",Business Services,USD 978 076 000,2951,USD 757 000,Redis; MongoDB; Docker; Jenkins,Amazon EC2,Akamai Technologies,"Kubernetes; Docker, Inc.",,,
DENSO TEN Limited,Manufacturing,USD 738 198 000,2769,USD 58 200,MySQL; Apache Cassandra; Docker; Jenkins; Splunk,Amazon EC2,Amazon Simple Email Service (SES),,MySQL,,Elasticsearch
Department of Energy - Argonne National Laboratory,Business Services,USD 750 000 000,3569,USD 71 300,PostgreSQL; PostgreSQL; MySQL; Redis; Docker; Splunk; Apache Kafka,"Acquia, Inc.",Amazon EC2,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL,Apache Kafka,Elasticsearch; Apache Solr
Department of Energy - National Renewable Energy Laboratory,Government,USD 544 900 000,2596,USD 63 800,PostgreSQL; MySQL; Grafana; MongoDB; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Splunk; Apache Kafka,Amazon EC2,"Docker, Inc.","Kubernetes; Docker, Inc.",MySQL; PostgreSQL,Apache Kafka,Elasticsearch; Apache Solr
Department of the Treasury - Internal Revenue Service,Government,USD 31 001 536 000,84553,USD 1 329 100,PostgreSQL; MySQL; Kubernetes; HashiCorp Terraform; Jenkins; Splunk,Amazon EC2,Kubernetes,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL,,
Descartes,Software,USD 549 846 000,1800,USD 85 500,PostgreSQL; MySQL; Redis; Apache Cassandra; MongoDB; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Apache Kafka,Lumen Technologies,Amazon EC2,"Kubernetes; Docker, Inc.",PostgreSQL; Microsoft Azure SQL Database,Apache Kafka,Elasticsearch
Deutsche Bank,Finance,USD 50 000 000 000,89260,USD 562 300,PostgreSQL; MySQL; Redis; Apache Cassandra; Grafana; MongoDB; MariaDB; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Prometheus; Splunk; Apache Kafka; Apache Flink,Amazon EC2,Google Compute Engine,"Kubernetes; Docker, Inc.",MySQL; MariaDB; PostgreSQL,Apache Kafka,Elasticsearch; Apache Solr; Apache Lucene
Deutsche Börse Group,Finance,USD 4 802 637 000,10000,USD 94 000,PostgreSQL; MySQL; Grafana; MongoDB; MariaDB; Kubernetes; Docker; Jenkins; Apache Kafka,]init[ - Services for the eSociety,Amazon EC2,"Kubernetes; Docker, Inc.",MySQL; MariaDB; PostgreSQL,Apache Kafka,
DFS,Transportation,USD 1 804 749 000,5650,USD 16 100,PostgreSQL; Grafana; Kubernetes; HashiCorp Terraform; Prometheus; Apache Kafka,"Docker, Inc.",Kubernetes,"Kubernetes; Docker, Inc.",PostgreSQL,,
DHI,"Energy, Utilities & Waste",USD 461 544 000,1028,USD 15 700,PostgreSQL; Kubernetes; Docker; HashiCorp Terraform; Jenkins,Microsoft Azure,Amazon EC2,,PostgreSQL,,Elasticsearch
DHL International,Transportation,USD 103 164 720 000,600000,USD 2 549 200,PostgreSQL; Apache Cassandra; Grafana; Kubernetes; Docker; Jenkins; Prometheus; Couchbase; Couchbase; Snowflake; Apache Kafka,Microsoft Azure,Amazon EC2,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL; Microsoft Azure SQL Database,Apache Kafka,Elasticsearch
Dialog Information Technology,Business Services,USD 301 802 000,1200,USD 15 300,PostgreSQL,Amazon EC2,Langtrees,"Kubernetes; Docker, Inc.",PostgreSQL,Confluent,
Diebold Nixdorf,Manufacturing,USD 3 791 100 000,22000,USD 262 800,PostgreSQL; MySQL; Redis; Grafana; MongoDB; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Prometheus; Couchbase; Splunk; Apache Kafka,Finanz Informatik GmbH & Co KG,The unbelievable Machine Company GmbH,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL; Microsoft Azure SQL Database,Apache Kafka,Elasticsearch
DigiCert,Software,USD 500 000 000,1000,USD 576 400,PostgreSQL; MySQL; Apache Cassandra; ClickHouse; MariaDB; Kubernetes; Docker; Jenkins; Splunk; Apache Kafka,Oracle Cloud,Amazon EC2,"Kubernetes; Docker, Inc.",MySQL; MariaDB; PostgreSQL,Apache Kafka,Elasticsearch
Digital Federal Credit Union,Finance,USD 471 475 000,1806,USD 149 800,PostgreSQL; MySQL; Docker; Jenkins; Datadog,Amazon EC2,Rackspace,"Docker, Inc.",MySQL; PostgreSQL; Amazon Relational Database Service,,
Digital Management Inc,Business Services,USD 441 109 000,2100,USD 47 800,PostgreSQL; Grafana; MongoDB; MariaDB; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Prometheus; Snowflake; Splunk; Apache Kafka,Lumen Technologies,"Level 3 Communications, Inc.","Kubernetes; Docker, Inc.",MySQL; MariaDB; PostgreSQL,Apache Kafka,Elasticsearch; Apache Solr
Digital Media Solutions,Business Services,USD 409 026 000,454,USD 118 900,PostgreSQL; MySQL; Docker; HashiCorp Terraform,Amazon EC2,"Docker, Inc.","Docker, Inc.",MySQL; PostgreSQL,,
DigitalOcean - Partner,Software,USD 675 008 000,1204,USD 1 133 600,PostgreSQL; MySQL; Redis; Apache Cassandra; Grafana; MongoDB; MariaDB; Kubernetes; Docker; Jenkins; Prometheus; Apache Kafka,"MongoDB, Inc.",CyberArk Software,"Kubernetes; Docker, Inc.",MySQL; MariaDB; PostgreSQL,Apache Kafka,Elasticsearch
Digital River,Software,USD 370 500 000,1200,USD 57 000,MySQL; Apache Cassandra; MongoDB; Kubernetes; Docker; Jenkins; Snowflake; Splunk; Apache Kafka,Kubernetes,"Docker, Inc.","Kubernetes; Docker, Inc.",MySQL,Apache Kafka,
Digitas,Business Services,USD 1 525 785 000,4487,USD 693 400,MySQL; MongoDB; MongoDB; Kubernetes; Docker; Docker; Jenkins; Jenkins; Splunk,Amazon EC2,Lumen Technologies,,MySQL; PostgreSQL,,Elasticsearch; Apache Solr; Apache Lucene
Diligent,Software,USD 420 103 000,2000,USD 84 200,PostgreSQL; MySQL; Apache Cassandra; Grafana; MongoDB; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Prometheus; Couchbase; Snowflake; Splunk; Apache Kafka,Internap Corp.,Amazon EC2,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL; Amazon Relational Database Service,,Elasticsearch
